uf,ano_mes,solicitacoes
MT,2017-10,2297
PB,2019-09,2292
MT,2017-02,2291
PB,2020-02,2290
AM,2015-11,2286
MT,2016-02,2284
SE,2016-11,2283
MS,2016-05,2281
MA,2017-11,2280
RN,2015-05,2274
SE,2019-01,2265
MS,2017-05,2265
AM,2015-04,2265
PB,2018-05,2264
MS,2016-06,2263
PB,2018-12,2258
MA,2018-05,2255
MT,2015-10,2254
RN,2015-03,2250
PB,2017-12,2241
PB,2017-02,2239
SE,2016-09,2237
PB,2018-11,2236
AM,2015-10,2228
SE,2016-10,2227
MS,2016-04,2225
AM,2019-01,2225
RN,2016-08,2216
PB,2018-09,2210
PI,2016-03,2210
PB,2018-07,2209
MS,2020-04,2206
PI,2016-04,2205
AM,2015-03,2204
MA,2016-09,2200
PB,2019-11,2199
MA,2019-01,2196
RN,2015-09,2195
MA,2017-10,2190
SE,2017-10,2182
SE,2017-09,2170
SE,2019-08,2162
MA,2020-04,2161
SE,2017-02,2157
PB,2019-06,2157
RN,2017-05,2148
RN,2015-04,2148
PB,2018-02,2145
MS,2016-09,2142
MT,2015-12,2136
RN,2017-08,2135
MT,2015-11,2133
MA,2019-05,2131
RN,2020-05,2129
AM,2016-06,2127
SE,2017-06,2120
SE,2017-04,2113
MT,2017-11,2103
MA,2017-09,2101
SE,2019-07,2099
MS,2016-11,2097
SE,2020-04,2095
RN,2017-03,2093
MT,2017-07,2091
MT,2017-04,2089
SE,2020-05,2084
RN,2016-03,2080
SE,2019-10,2077
MA,2018-02,2077
SE,2018-03,2074
SE,2018-04,2071
MS,2020-05,2069
AM,2016-07,2064
MT,2017-09,2058
MA,2019-07,2057
MA,2018-08,2054
MA,2015-02,2053
MS,2018-01,2046
SE,2017-11,2046
RN,2016-02,2046
MS,2017-07,2037
RN,2016-01,2030
SE,2019-09,2028
MS,2017-10,2027
MS,2019-01,2027
MT,2017-06,2025
RN,2015-10,2024
RN,2016-11,2010
MT,2018-03,2009
MT,2019-01,2008
MS,2016-12,2007
PI,2016-02,2003
RN,2015-12,2003
SE,2018-01,1999
MA,2017-12,1998
MA,2018-10,1996
AM,2016-08,1990
MS,2017-06,1979
MS,2017-02,1977
MT,2018-01,1976
MS,2017-11,1975
SE,2020-01,1973
PI,2017-05,1973
AM,2019-05,1970
AM,2017-01,1969
MA,2018-06,1966
RN,2016-06,1963
MT,2020-05,1960
AM,2019-07,1958
AM,2017-05,1958
MS,2019-02,1958
RN,2015-11,1953
PI,2017-02,1948
PB,2018-06,1948
MT,2018-04,1947
MS,2015-02,1945
RN,2020-04,1943
MS,2018-03,1941
MA,2018-11,1936
SE,2015-02,1931
MA,2018-07,1924
MS,2017-09,1923
MA,2019-02,1922
RN,2017-07,1921
RN,2017-10,1921
PI,2016-05,1918
MS,2020-01,1918
SE,2018-10,1913
MS,2016-10,1912
MT,2020-04,1910
RN,2016-12,1909
AM,2019-02,1909
SE,2019-05,1906
RN,2016-07,1904
RN,2017-01,1903
MA,2019-04,1901
AL,2015-07,1899
SE,2019-04,1896
RN,2016-10,1890
PI,2016-06,1889
MA,2020-03,1889
AM,2017-03,1888
RN,2016-04,1885
PI,2017-01,1883
SE,2019-02,1882
MT,2015-02,1881
MS,2018-08,1872
SE,2018-05,1872
RN,2018-05,1865
RN,2019-01,1865
MT,2018-10,1860
SE,2018-11,1860
MS,2020-03,1859
MS,2019-07,1858
SE,2018-07,1857
MT,2019-07,1856
SE,2017-12,1855
MS,2018-11,1855
SE,2018-08,1853
MA,2019-03,1852
MS,2018-10,1852
MT,2019-02,1848
AM,2016-11,1848
MS,2018-04,1842
MS,2018-05,1840
MS,2019-05,1836
MA,2018-12,1833
AM,2019-04,1832
RN,2017-09,1829
PI,2016-08,1827
RN,2016-09,1826
RN,2020-01,1825
PI,2016-01,1822
RN,2016-05,1821
MA,2018-09,1821
RN,2019-07,1819
MT,2018-05,1817
PI,2018-04,1814
SE,2018-12,1814
AM,2019-03,1811
SE,2020-03,1811
AL,2019-07,1809
RN,2019-04,1808
MS,2019-03,1806
SE,2019-11,1801
AM,2017-08,1799
MS,2019-04,1797
MA,2019-09,1794
SE,2019-12,1793
AL,2020-05,1792
MT,2020-03,1789
MT,2020-01,1789
MS,2017-04,1788
SE,2018-02,1783
AM,2017-07,1782
MT,2018-02,1781
PI,2018-01,1778
PI,2017-04,1775
MA,2020-01,1767
RN,2017-11,1767
MS,2017-12,1766
RN,2017-06,1764
AM,2019-08,1756
MT,2017-12,1753
AM,2017-10,1748
MA,2019-08,1747
PI,2015-07,1744
MT,2019-03,1744
PB,2015-02,1741
AM,2016-12,1738
RN,2019-03,1735
RN,2018-08,1731
RN,2019-05,1726
MS,2019-08,1725
MS,2018-07,1722
RN,2018-04,1718
PI,2015-09,1717
RN,2017-02,1716
PI,2018-03,1713
MS,2020-02,1712
AL,2015-08,1710
AM,2017-06,1710
PI,2018-05,1709
AM,2019-10,1707
MA,2019-10,1707
MA,2019-12,1704
MS,2018-02,1702
RN,2017-04,1701
MT,2018-11,1701
MT,2018-08,1699
SE,2019-03,1693
MS,2019-09,1689
RN,2018-10,1688
MT,2019-05,1688
RN,2018-01,1686
PI,2015-08,1685
AM,2018-12,1683
MA,2019-06,1681
SE,2018-09,1681
AM,2016-09,1681
SE,2018-06,1678
RN,2018-07,1677
RN,2020-03,1677
AM,2020-01,1677
AM,2018-10,1674
