assunto,marca,solicitacoes
"Documento de Cobrança, Contrato, Gravações",HUGHES,61
Soluções de Competição,Outros,61
"Bloqueio, desbloqueio ou Suspensão",Brisanet,59
Pós-Pago,CLARO,59
Ressarcimento,Brisanet,58
Atendimento,CABO TELECOM,57
Serviços de Proteção ao Crédito,ALGAR,56
Local,VIVO,54
Programa Banda Larga nas Escolas (PBLE),TIM,52
Instalação ou Ativação ou Habilitação,CABO TELECOM,50
Longa Distância/Interurbano,ALGAR,48
Programa Banda Larga nas Escolas (PBLE),NET,46
Bloqueio ou Suspensão e Desbloqueio,Brisanet,46
Local,OI,46
Planos de Serviços,Outros,44
Cobrança,NOSSA TV - BRASIL,41
Rádio AM (OM),Outros,39
Telefonia Fixa (STFC),Outros,39
Pós-Pago,TIM,39
Pós-Pago,OI,39
Dados cadastrais ou número da linha,Correios Celular,38
Serviço Limitado Privado (SLP),Outros,37
Bloqueio ou Suspensão e Desbloqueio,CABO TELECOM,36
Dados cadastrais e número da linha,SERCOMTEL,35
Radioamador (PY),Outros,35
Pré-Pago,OI,34
TV a Cabo,NET,34
Banda larga - ADSL,OI,34
NÃO APLICÁVEL,EMBRATEL,32
Pré-Pago,CLARO,32
TV a Cabo,SKY,31
Mudança de Endereço,CABO TELECOM,28
Programa Banda Larga nas Escolas (PBLE),CLARO,27
TV a Cabo,CLARO,25
"Bloqueio, desbloqueio ou Suspensão",SERCOMTEL,24
Pós-Pago,NEXTEL,24
Programa Banda Larga nas Escolas (PBLE),Outros,24
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",CABO TELECOM,24
"Qualidade, Funcionamento e Reparo",NOSSA TV - BRASIL,22
Cancelamento,NOSSA TV - BRASIL,22
Mudança de Plano,SERCOMTEL,22
Dificuldade em cancelar,SERCOMTEL,22
NÃO APLICÁVEL,VIVO,21
Banda larga - ADSL,VIVO,21
Dados cadastrais e número da linha,HUGHES,20
"Documento de Cobrança, Contrato, Gravações",CABO TELECOM,19
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",Datora,18
Portabilidade,Datora,17
NÃO APLICÁVEL,CLARO,17
"Documento de Cobrança, Contrato, Gravações",Correios Celular,16
NÃO APLICÁVEL,OI,16
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",SERCOMTEL,15
"Documento de Cobrança, Contrato, Gravações",Brisanet,14
Oferta,SERCOMTEL,14
Rádio do Cidadão (PX),Outros,13
Mensagens Publicitárias,ALGAR,13
Banda larga - ADSL,NET,13
"Documento de Cobrança, Contrato, Relatório, Gravações",SERCOMTEL,12
TV a Cabo,VIVO,12
Programa Banda Larga nas Escolas (PBLE),ALGAR,11
Dados cadastrais ou número da linha,HUGHES,11
DTH (Via Satélite),SKY,11
Dados cadastrais ou número da linha,SERCOMTEL,11
"Bloqueio, desbloqueio ou Suspensão",CABO TELECOM,11
DTH (Via Satélite),CLARO,11
"Qualidade, Funcionamento e Reparo",Datora,10
Empresa não cadastrada,NET,10
NÃO APLICÁVEL,TIM,10
"Documento de Cobrança, Contrato, Gravações",NOSSA TV - BRASIL,10
Portabilidade,CABO TELECOM,9
Longa Distância/Interurbano,SERCOMTEL,9
Ressarcimento,CABO TELECOM,8
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",CABO TELECOM,8
Local,NET,7
DTH (Via Satélite),OI,7
Cobrança,Datora,7
Local,CLARO,6
Banda larga - ADSL,EMBRATEL,6
NÃO APLICÁVEL,NET,6
Ressarcimento,NOSSA TV - BRASIL,6
TV a Cabo,OI,5
Dados cadastrais ou número da linha,Brisanet,5
Canais de Relacionamento,VIVO,5
